Limbs,Function,Protected
4,bn_addn, 40
4,bn_copy, 40
4,bn_eq, 40
4,bn_muln, 60
4,bn_set0, 40
4,bn_sqrn, 60
4,bn_subn, 40
4,bn_test0, 60
5,bn_addn, 40
5,bn_copy, 40
5,bn_eq, 40
5,bn_muln, 60
5,bn_set0, 40
5,bn_sqrn, 80
5,bn_subn, 40
5,bn_test0, 60
6,bn_addn, 120
6,bn_copy, 80
6,bn_eq, 100
6,bn_muln, 240
6,bn_set0, 80
6,bn_sqrn, 240
6,bn_subn, 100
6,bn_test0, 120
7,bn_addn, 40
7,bn_copy, 40
7,bn_eq, 40
7,bn_muln, 100
7,bn_set0, 40
7,bn_sqrn, 100
7,bn_subn, 40
7,bn_test0, 60
8,bn_addn, 40
8,bn_copy, 40
8,bn_eq, 40
8,bn_muln, 120
8,bn_set0, 40
8,bn_sqrn, 120
8,bn_subn, 40
8,bn_test0, 60
9,bn_addn, 40
9,bn_copy, 40
9,bn_eq, 40
9,bn_muln, 120
9,bn_set0, 40
9,bn_sqrn, 140
9,bn_subn, 40
9,bn_test0, 60
10,bn_addn, 60
10,bn_copy, 40
10,bn_eq, 40
10,bn_muln, 140
10,bn_set0, 40
10,bn_sqrn, 160
10,bn_subn, 60
10,bn_test0, 60
11,bn_addn, 60
11,bn_copy, 40
11,bn_eq, 40
11,bn_muln, 160
11,bn_set0, 40
11,bn_sqrn, 180
11,bn_subn, 60
11,bn_test0, 60
12,bn_addn, 60
12,bn_copy, 40
12,bn_eq, 60
12,bn_muln, 200
12,bn_set0, 40
12,bn_sqrn, 220
12,bn_subn, 60
12,bn_test0, 60
13,bn_addn, 60
13,bn_copy, 40
13,bn_eq, 60
13,bn_muln, 220
13,bn_set0, 40
13,bn_sqrn, 240
13,bn_subn, 60
13,bn_test0, 60
14,bn_addn, 60
14,bn_copy, 40
14,bn_eq, 60
14,bn_muln, 240
14,bn_set0, 40
14,bn_sqrn, 280
14,bn_subn, 60
14,bn_test0, 60
15,bn_addn, 180
15,bn_copy, 100
15,bn_eq, 120
15,bn_muln, 620
15,bn_set0, 120
15,bn_sqrn, 700
15,bn_subn, 180
15,bn_test0, 120
16,bn_addn, 60
16,bn_copy, 40
16,bn_eq, 60
16,bn_muln, 300
16,bn_set0, 40
16,bn_sqrn, 340
16,bn_subn, 60
16,bn_test0, 60
17,bn_addn, 60
17,bn_copy, 40
17,bn_eq, 60
17,bn_muln, 340
17,bn_set0, 40
17,bn_sqrn, 400
17,bn_subn, 60
17,bn_test0, 60
18,bn_addn, 60
18,bn_copy, 40
18,bn_eq, 60
18,bn_muln, 380
18,bn_set0, 40
18,bn_sqrn, 420
18,bn_subn, 60
18,bn_test0, 60
19,bn_addn, 60
19,bn_copy, 40
19,bn_eq, 60
19,bn_muln, 420
19,bn_set0, 40
19,bn_sqrn, 480
19,bn_subn, 60
19,bn_test0, 60
20,bn_addn, 60
20,bn_copy, 40
20,bn_eq, 60
20,bn_muln, 460
20,bn_set0, 40
20,bn_sqrn, 520
20,bn_subn, 60
20,bn_test0, 60
21,bn_addn, 60
21,bn_copy, 40
21,bn_eq, 60
21,bn_muln, 480
21,bn_set0, 40
21,bn_sqrn, 560
21,bn_subn, 60
21,bn_test0, 60
22,bn_addn, 60
22,bn_copy, 40
22,bn_eq, 60
22,bn_muln, 520
22,bn_set0, 40
22,bn_sqrn, 620
22,bn_subn, 60
22,bn_test0, 60
23,bn_addn, 60
23,bn_copy, 40
23,bn_eq, 60
23,bn_muln, 580
23,bn_set0, 40
23,bn_sqrn, 680
23,bn_subn, 60
23,bn_test0, 60
24,bn_addn, 80
24,bn_copy, 40
24,bn_eq, 60
24,bn_muln, 600
24,bn_set0, 40
24,bn_sqrn, 740
24,bn_subn, 80
24,bn_test0, 60
25,bn_addn, 80
25,bn_copy, 40
25,bn_eq, 60
25,bn_muln, 680
25,bn_set0, 40
25,bn_sqrn, 800
25,bn_subn, 80
25,bn_test0, 60
26,bn_addn, 80
26,bn_copy, 40
26,bn_eq, 60
26,bn_muln, 720
26,bn_set0, 40
26,bn_sqrn, 860
26,bn_subn, 80
26,bn_test0, 60
27,bn_addn, 80
27,bn_copy, 40
27,bn_eq, 60
27,bn_muln, 780
27,bn_set0, 40
