Limbs,Function,Unprotected
4,bn_addn, 20
4,bn_copy, 20
4,bn_eq, 20
4,bn_muln, 40
4,bn_set0, 20
4,bn_sqrn, 40
4,bn_subn, 20
4,bn_test0, 20
5,bn_addn, 20
5,bn_copy, 20
5,bn_eq, 20
5,bn_muln, 40
5,bn_set0, 20
5,bn_sqrn, 60
5,bn_subn, 20
5,bn_test0, 20
6,bn_addn, 20
6,bn_copy, 20
6,bn_eq, 20
6,bn_muln, 60
6,bn_set0, 20
6,bn_sqrn, 60
6,bn_subn, 20
6,bn_test0, 20
7,bn_addn, 20
7,bn_copy, 20
7,bn_eq, 20
7,bn_muln, 60
7,bn_set0, 20
7,bn_sqrn, 80
7,bn_subn, 20
7,bn_test0, 20
8,bn_addn, 20
8,bn_copy, 20
8,bn_eq, 20
8,bn_muln, 80
8,bn_set0, 20
8,bn_sqrn, 100
8,bn_subn, 20
8,bn_test0, 20
9,bn_addn, 20
9,bn_copy, 20
9,bn_eq, 20
9,bn_muln, 100
9,bn_set0, 20
9,bn_sqrn, 120
9,bn_subn, 20
9,bn_test0, 20
10,bn_addn, 20
10,bn_copy, 20
10,bn_eq, 20
10,bn_muln, 120
10,bn_set0, 20
10,bn_sqrn, 140
10,bn_subn, 20
10,bn_test0, 20
11,bn_addn, 40
11,bn_copy, 20
11,bn_eq, 20
11,bn_muln, 140
11,bn_set0, 20
11,bn_sqrn, 160
11,bn_subn, 40
11,bn_test0, 20
12,bn_addn, 40
12,bn_copy, 20
12,bn_eq, 20
12,bn_muln, 160
12,bn_set0, 20
12,bn_sqrn, 200
12,bn_subn, 40
12,bn_test0, 20
13,bn_addn, 40
13,bn_copy, 20
13,bn_eq, 20
13,bn_muln, 200
13,bn_set0, 20
13,bn_sqrn, 220
13,bn_subn, 40
13,bn_test0, 20
14,bn_addn, 40
14,bn_copy, 20
14,bn_eq, 20
14,bn_muln, 220
14,bn_set0, 20
14,bn_sqrn, 260
14,bn_subn, 40
14,bn_test0, 20
15,bn_addn, 40
15,bn_copy, 20
15,bn_eq, 20
15,bn_muln, 260
15,bn_set0, 20
15,bn_sqrn, 280
15,bn_subn, 40
15,bn_test0, 20
16,bn_addn, 40
16,bn_copy, 20
16,bn_eq, 40
16,bn_muln, 300
16,bn_set0, 20
16,bn_sqrn, 340
16,bn_subn, 40
16,bn_test0, 20
17,bn_addn, 40
17,bn_copy, 20
17,bn_eq, 40
17,bn_muln, 320
17,bn_set0, 20
17,bn_sqrn, 380
17,bn_subn, 40
17,bn_test0, 20
18,bn_addn, 60
18,bn_copy, 20
18,bn_eq, 40
18,bn_muln, 360
18,bn_set0, 20
18,bn_sqrn, 440
18,bn_subn, 60
18,bn_test0, 20
19,bn_addn, 60
19,bn_copy, 20
19,bn_eq, 40
19,bn_muln, 420
19,bn_set0, 20
19,bn_sqrn, 500
19,bn_subn, 60
19,bn_test0, 20
20,bn_addn, 60
20,bn_copy, 20
20,bn_eq, 40
20,bn_muln, 440
20,bn_set0, 20
20,bn_sqrn, 520
20,bn_subn, 60
20,bn_test0, 20
21,bn_addn, 60
21,bn_copy, 20
21,bn_eq, 40
21,bn_muln, 480
21,bn_set0, 20
21,bn_sqrn, 560
21,bn_subn, 60
21,bn_test0, 20
22,bn_addn, 60
22,bn_copy, 20
22,bn_eq, 40
22,bn_muln, 540
22,bn_set0, 20
22,bn_sqrn, 620
22,bn_subn, 60
22,bn_test0, 20
23,bn_addn, 60
23,bn_copy, 20
23,bn_eq, 40
23,bn_muln, 580
23,bn_set0, 20
23,bn_sqrn, 680
23,bn_subn, 60
23,bn_test0, 20
24,bn_addn, 60
24,bn_copy, 20
24,bn_eq, 60
24,bn_muln, 640
24,bn_set0, 20
24,bn_sqrn, 740
24,bn_subn, 60
24,bn_test0, 20
25,bn_addn, 60
25,bn_copy, 20
25,bn_eq, 40
25,bn_muln, 660
25,bn_set0, 20
25,bn_sqrn, 760
25,bn_subn, 60
25,bn_test0, 20
26,bn_addn, 60
26,bn_copy, 20
26,bn_eq, 60
26,bn_muln, 720
26,bn_set0, 20
26,bn_sqrn, 820
26,bn_subn, 60
26,bn_test0, 20
27,bn_addn, 60
27,bn_copy, 20
27,bn_eq, 60
27,bn_muln, 760
27,bn_set0, 20
27,bn_sqrn, 900
27,bn_subn, 60
27,bn_test0, 20
28,bn_addn, 60
28,bn_copy, 20
28,bn_eq, 60
28,bn_muln, 820
28,bn_set0, 20
28,bn_sqrn, 960
28,bn_subn, 60
28,bn_test0, 20
29,bn_addn, 80
29,bn_copy, 40
29,bn_eq, 80
29,bn_muln, 1080
29,bn_set0, 40
29,bn_sqrn, 1280
29,bn_subn, 80
29,bn_test0, 40
30,bn_addn, 80
30,bn_copy, 20
30,bn_eq, 60
30,bn_muln, 900
30,bn_set0, 20
30,bn_sqrn, 1100
30,bn_subn, 80
30,bn_test0, 20
31,bn_addn, 80
31,bn_copy, 20
31,bn_eq, 60
31,bn_muln, 1020
31,bn_set0, 20
31,bn_sqrn, 1220
31,bn_subn, 80
31,bn_test0, 40
32,bn_addn, 80
32,bn_copy, 20
32,bn_eq, 60
32,bn_muln, 1020
32,bn_set0, 20
32,bn_sqrn, 1240
32,bn_subn, 80
32,bn_test0, 20
33,bn_addn, 80
33,bn_copy, 20
33,bn_eq, 60
33,bn_muln, 1080
33,bn_set0, 20
33,bn_sqrn, 1320
33,bn_subn, 80
33,bn_test0, 40
34,bn_addn, 80
34,bn_copy, 20
34,bn_eq, 60
34,bn_muln, 1140
34,bn_set0, 20
34,bn_sqrn, 1400
34,bn_subn, 80
34,bn_test0, 40
35,bn_addn, 80
35,bn_copy, 20
35,bn_eq, 60
35,bn_muln, 1240
35,bn_set0, 20
35,bn_sqrn, 1480
35,bn_subn, 80
35,bn_test0, 40
36,bn_addn, 100
36,bn_copy, 40
36,bn_eq, 80
36,bn_muln, 1660
36,bn_set0, 40
36,bn_sqrn, 1980
36,bn_subn, 100
36,bn_test0, 40
37,bn_addn, 100
37,bn_copy, 40
37,bn_eq, 80
37,bn_muln, 1660
37,bn_set0, 40
37,bn_sqrn, 2020
37,bn_subn, 100
37,bn_test0, 40
38,bn_addn, 80
38,bn_copy, 20
38,bn_eq, 80
38,bn_muln, 1440
38,bn_set0, 20
38,bn_sqrn, 1740
38,bn_subn, 80
38,bn_test0, 40
39,bn_addn, 100
39,bn_copy, 20
39,bn_eq, 80
39,bn_muln, 1720
39,bn_set0, 20
39,bn_sqrn, 1840
39,bn_subn, 100
39,bn_test0, 40
40,bn_addn, 100
40,bn_copy, 20
40,bn_eq, 80
40,bn_muln, 2060
40,bn_set0, 20
40,bn_sqrn, 1940
40,bn_subn, 100
40,bn_test0, 40
41,bn_addn, 100
41,bn_copy, 20
41,bn_eq, 80
41,bn_muln, 2140
41,bn_set0, 20
41,bn_sqrn, 2040
41,bn_subn, 100
41,bn_test0, 40
42,bn_addn, 100
42,bn_copy, 40
42,bn_eq, 80
42,bn_muln, 1720
42,bn_set0, 40
42,bn_sqrn, 2140
42,bn_subn, 100
42,bn_test0, 40
43,bn_addn, 100
43,bn_copy, 40
43,bn_eq, 80
43,bn_muln, 1820
43,bn_set0, 40
43,bn_sqrn, 2240
43,bn_subn, 100
43,bn_test0, 40
44,bn_addn, 120
44,bn_copy, 40
44,bn_eq, 100
44,bn_muln, 2400
44,bn_set0, 40
44,bn_sqrn, 2960
44,bn_subn, 120
44,bn_test0, 40
45,bn_addn, 100
45,bn_copy, 40
45,bn_eq, 80
45,bn_muln, 2000
45,bn_set0, 40
45,bn_sqrn, 2460
45,bn_subn, 100
45,bn_test0, 40
46,bn_addn, 100
46,bn_copy, 40
46,bn_eq, 80
46,bn_muln, 2080
46,bn_set0, 40
46,bn_sqrn, 2560
46,bn_subn, 100
46,bn_test0, 40
47,bn_addn, 100
47,bn_copy, 40
47,bn_eq, 80
47,bn_muln, 2160
47,bn_set0, 40
47,bn_sqrn, 3080
47,bn_subn, 100
47,bn_test0, 40
48,bn_addn, 100
48,bn_copy, 40
48,bn_eq, 80
48,bn_muln, 2240
48,bn_set0, 40
48,bn_sqrn, 2800
48,bn_subn, 100
48,bn_test0, 40
49,bn_addn, 100
49,bn_copy, 40
49,bn_eq, 80
49,bn_muln, 2840
49,bn_set0, 40
49,bn_sqrn, 2900
49,bn_subn, 100
49,bn_test0, 60
50,bn_addn, 140
50,bn_copy, 40
